project_id,building_type,city,state,built_up_area_sqft,num_floors,project_start_date,estimated_duration_months,total_civil_cost_inr,total_electrical_cost_inr,total_plumbing_cost_inr,total_project_cost_inr,cost_per_sqft_inr
PRJ0177,Residential - Independent House,Pune,Maharashtra,880.0,1,2022-06-23,28.0,3910156.19,1754257.96,204950.16,5869364.31,6669.73
PRJ0178,Commercial - Hotel,Chennai,Tamil Nadu,22312.0,4,2025-04-27,24.0,94780256.2,4391522.33,1297973.03,100469751.56,4502.95
PRJ0179,Commercial - Hotel,Bengaluru,Karnataka,231563.0,4,2021-08-07,16.0,1396821258.03,26820258.36,11235523.84,1434877040.23,6196.49
PRJ0180,Commercial - Office Building,Lucknow,Uttar Pradesh,59586.0,5,2023-09-03,13.0,289623874.33,10709615.99,4770680.95,305104171.27,5120.4
PRJ0181,Industrial - Warehouse,Coimbatore,Tamil Nadu,18704.0,5,2021-12-19,19.0,99050540.66,4183707.28,1857306.37,105091554.31,5618.67
PRJ0182,Residential - Apartment Complex,Nagpur,Maharashtra,45151.0,6,2024-07-28,20.0,243221331.35,4410677.54,4559515.7,252191524.59,5585.51
PRJ0183,Commercial - Office Building,Nashik,Maharashtra,28400.0,7,2021-11-20,14.0,134049461.2,3164434.56,493627.21,137707522.97,4848.86
PRJ0184,Residential - Independent House,Indore,Madhya Pradesh,2955.0,2,2024-05-22,13.0,11831472.4,1863782.91,209312.99,13904568.3,4705.44
PRJ0185,Commercial - Hotel,Nashik,Maharashtra,122689.0,5,2023-10-13,10.0,447789732.2,20316219.8,14010110.91,482116062.91,3929.58
PRJ0186,Industrial - Heavy Manufacturing,Indore,Madhya Pradesh,347028.0,4,2024-11-01,13.0,1567538254.7,50529290.79,15075432.88,1633142978.37,4706.08
PRJ0187,Commercial - Office Building,Indore,Madhya Pradesh,122694.0,8,2022-03-14,11.0,442214582.69,22081644.51,10784638.92,475080866.12,3872.08
PRJ0188,Industrial - Heavy Manufacturing,Delhi,Delhi,85368.0,3,2021-08-05,16.0,378560785.35,7817209.16,10397495.53,396775490.04,4647.82
PRJ0189,Residential - Independent House,Mumbai,Maharashtra,2870.0,3,2021-10-31,23.0,16260141.37,2121400.06,392461.01,18774002.44,6541.46
PRJ0190,Industrial - Light Manufacturing,Chennai,Tamil Nadu,77728.0,6,2024-09-07,14.0,445801736.03,18336558.29,6737552.65,470875846.97,6058.0
PRJ0191,Commercial - Retail / Mall,Chennai,Tamil Nadu,80384.0,8,2024-03-23,13.0,382944104.01,12839819.15,10163087.79,405947010.95,5050.1
PRJ0192,Commercial - Office Building,Ahmedabad,Gujarat,114815.0,1,2021-10-22,22.0,517927389.62,23589408.11,11003286.58,552520084.31,4812.26
PRJ0193,Commercial - Retail / Mall,Lucknow,Uttar Pradesh,381726.0,1,2025-07-08,14.0,1953728441.15,28509710.51,38433769.01,2020671920.67,5293.51
PRJ0194,Commercial - Office Building,Nashik,Maharashtra,153700.0,1,2024-05-02,12.0,959723690.5,26695005.06,14877715.82,1001296411.38,6514.62
PRJ0195,Commercial - Hotel,Pune,Maharashtra,228236.0,4,2022-09-22,14.0,1040395006.59,41259573.52,28690876.12,1110345456.23,4864.9
PRJ0196,Industrial - Light Manufacturing,Nashik,Maharashtra,72455.0,8,2022-10-11,13.0,228933691.4,8974604.23,3405475.52,241313771.15,3330.53
PRJ0197,Commercial - Office Building,Bengaluru,Karnataka,178956.0,10,2021-09-18,3.0,722603355.19,38740741.55,9167309.96,770511406.7,4305.59
PRJ0198,Residential - Independent House,Nagpur,Maharashtra,3037.0,1,2024-11-09,15.0,12696057.24,899543.34,435132.14,14030732.72,4619.93
PRJ0199,Residential - Independent House,Coimbatore,Tamil Nadu,1705.0,1,2022-05-17,17.0,8278098.36,1362308.23,257648.0,9898054.59,5805.31
PRJ0200,Commercial - Office Building,Jaipur,Rajasthan,14540.0,15,2025-06-19,11.0,91723559.99,3602169.14,1486539.16,96812268.29,6658.34
PRJ0201,Industrial - Heavy Manufacturing,Chennai,Tamil Nadu,52758.0,2,2025-08-11,10.0,292124080.47,7479876.4,7559565.99,307163522.86,5822.12
PRJ0202,Industrial - Light Manufacturing,Jaipur,Rajasthan,38612.0,4,2024-04-06,18.0,201513260.88,6672369.42,5214552.44,213400182.74,5526.78
PRJ0203,Industrial - Warehouse,Indore,Madhya Pradesh,239632.0,10,2025-08-15,18.0,669179596.45,34328524.75,4996767.41,708504888.61,2956.64
PRJ0204,Commercial - Retail / Mall,Chennai,Tamil Nadu,301648.0,1,2025-12-18,9.0,936223323.99,52151021.19,40281846.92,1028656192.1,3410.12
PRJ0205,Commercial - Hospital,Bengaluru,Karnataka,167999.0,1,2021-03-20,,917208696.23,33757999.46,17406841.76,968373537.45,5764.16
PRJ0206,Commercial - Hotel,Ahmedabad,Gujarat,93078.0,1,2024-05-18,14.0,439503837.61,10820002.79,4544713.56,454868553.96,4886.96
PRJ0207,Residential - Apartment Complex,Lucknow,Uttar Pradesh,28456.0,3,2023-06-16,4.0,136438406.1,3295832.99,2424648.88,142158887.97,4995.74
PRJ0208,Industrial - Light Manufacturing,Lucknow,Uttar Pradesh,120891.0,1,2021-05-09,20.0,463644973.35,20039904.6,14469200.39,498154078.34,4120.69
PRJ0209,Industrial - Warehouse,Nagpur,Maharashtra,155900.0,6,2023-12-09,14.0,467673822.88,26015526.94,12571729.2,506261079.02,3247.34
PRJ0210,Commercial - Retail / Mall,Chennai,Tamil Nadu,211332.0,3,2025-10-22,13.0,785462517.47,49429376.51,23544909.26,858436803.24,4062.03
PRJ0211,Industrial - Light Manufacturing,Jaipur,Rajasthan,124218.0,8,2023-03-28,25.0,401101870.54,11812065.83,10685151.89,423599088.26,3410.13
PRJ0212,Industrial - Light Manufacturing,Nashik,Maharashtra,89811.0,1,2024-08-04,17.0,472962160.08,16250234.25,6207233.35,495419627.68,5516.25
PRJ0213,Commercial - Hotel,Nagpur,Maharashtra,12986.0,5,2025-07-06,14.0,58919996.15,3212261.79,636380.87,62768638.81,4833.56
PRJ0214,Commercial - Retail / Mall,Coimbatore,Tamil Nadu,454824.0,8,2021-05-09,25.0,2335945211.22,53564048.27,46932635.49,2436441894.98,5356.89
PRJ0215,Industrial - Warehouse,Bengaluru,Karnataka,97362.0,5,2021-01-20,22.0,689863076.11,9196492.18,12408167.18,711467735.47,7307.45
PRJ0216,Commercial - Hotel,Surat,Gujarat,178590.0,9,2024-10-10,20.0,638656893.68,29689952.01,16201883.24,684548728.93,3833.07
PRJ0217,Commercial - Hospital,Surat,Gujarat,98985.0,3,2021-04-20,18.0,406121830.4,8182149.0,587397.96,414891377.36,4191.46
PRJ0218,Commercial - Retail / Mall,Coimbatore,Tamil Nadu,84989.0,3,2025-11-07,5.0,293274115.68,9498586.78,9264527.78,312037230.24,3671.5
PRJ0219,Commercial - Hotel,Coimbatore,Tamil Nadu,101762.0,5,2025-09-27,8.0,319797935.89,9055196.88,7163751.19,336016883.96,3301.99
PRJ0220,Residential - Apartment Complex,Surat,Gujarat,96263.0,6,2025-10-30,17.0,605634255.05,7645116.27,7961372.31,621240743.63,6453.58
PRJ0221,Commercial - Hotel,Surat,Gujarat,215788.0,7,2025-07-29,7.0,656631841.26,28664801.87,24786197.21,710082840.34,3290.65
PRJ0222,Commercial - Office Building,Hyderabad,Telangana,13004.0,10,2021-04-27,17.0,31423727.88,3864024.47,995746.06,36283498.41,2790.18
PRJ0223,Commercial - Hotel,Ahmedabad,Gujarat,125987.0,6,2021-02-05,15.0,524124432.39,21354991.84,1176893.87,546656318.1,4338.99
PRJ0224,Commercial - Hotel,Surat,Gujarat,62644.0,5,2023-09-14,11.0,297844204.91,6647269.53,3060918.57,307552393.01,4909.53
PRJ0225,Residential - Apartment Complex,Kolkata,West Bengal,107501.0,3,2022-08-30,11.0,407942353.18,10605687.14,7148491.52,425696531.84,3959.93
PRJ0226,Commercial - Retail / Mall,Chennai,Tamil Nadu,145069.0,2,2025-01-04,3.0,527444715.41,28477898.28,10341287.5,566263901.19,3903.41
PRJ0227,Commercial - Office Building,Lucknow,Uttar Pradesh,18944.0,8,2021-11-19,5.0,92063100.63,2479431.37,1289298.96,95831830.96,5058.69
PRJ0228,Commercial - Office Building,Coimbatore,Tamil Nadu,67130.0,1,2024-09-03,,378763301.27,12536425.62,9224080.28,400523807.17,5966.39
PRJ0229,Industrial - Warehouse,Chennai,Tamil Nadu,248766.0,7,2022-02-13,11.0,1529418462.28,42437797.55,28156916.69,1600013176.52,6431.8
PRJ0230,Commercial - Hospital,Lucknow,Uttar Pradesh,275695.0,2,2023-02-05,7.0,1038961664.2,19532644.02,30252500.95,1088746809.17,3949.1
PRJ0231,Commercial - Retail / Mall,Ahmedabad,Gujarat,45413.0,6,2023-04-15,10.0,203156149.71,8632608.51,3528548.72,215317306.94,4741.31
PRJ0232,Residential - Independent House,Chennai,Tamil Nadu,2156.0,4,2025-02-26,5.0,7209842.87,1370137.65,293990.29,8873970.81,4115.94
PRJ0233,Commercial - Hotel,Nashik,Maharashtra,20784.0,6,2021-05-24,7.0,121504040.02,4866097.58,1552560.54,127922698.14,6154.86
PRJ0234,Residential - Apartment Complex,Nagpur,Maharashtra,116278.0,1,2025-06-02,13.0,670952338.78,15432216.99,6688137.68,693072693.45,5960.48
PRJ0235,Commercial - Retail / Mall,Ahmedabad,Gujarat,112448.0,3,2024-05-06,18.0,492870992.25,10490100.79,10261822.76,513622915.8,4567.65
PRJ0236,Commercial - Office Building,Hyderabad,Telangana,199327.0,6,2022-05-09,11.0,949328492.98,22584454.83,19974382.84,991887330.65,4976.18
PRJ0237,Industrial - Light Manufacturing,Coimbatore,Tamil Nadu,106869.0,8,2023-10-06,24.0,337923787.61,15795346.02,9930459.77,363649593.4,3402.76
PRJ0238,Commercial - Hotel,Indore,Madhya Pradesh,235537.0,7,2025-01-16,11.0,1367891851.04,41337240.81,11955766.82,1421184858.67,6033.81
PRJ0239,Commercial - Hospital,Jaipur,Rajasthan,82931.0,3,2021-01-11,11.0,372725538.22,10566767.13,8390660.03,391682965.38,4723.0
PRJ0240,Industrial - Light Manufacturing,Nashik,Maharashtra,71046.0,3,2021-07-25,17.0,455235873.02,12400921.57,6687233.44,474324028.03,6676.29
PRJ0241,Industrial - Warehouse,Jaipur,Rajasthan,99977.0,4,2024-03-19,6.0,436689339.4,9471725.24,4592617.97,450753682.61,4508.57
PRJ0242,Industrial - Warehouse,Indore,Madhya Pradesh,84639.0,1,2025-12-10,18.0,309597689.9,16969946.55,6646363.02,333213999.47,3936.88
PRJ0243,Commercial - Office Building,Mumbai,Maharashtra,116299.0,6,2021-04-16,17.0,600314527.62,23590600.09,11370800.6,635275928.31,5462.44
PRJ0244,Commercial - Retail / Mall,Indore,Madhya Pradesh,185305.0,9,2024-08-07,7.0,612086977.75,26894369.6,16444955.94,655426303.29,3537.01
PRJ0245,Commercial - Retail / Mall,Lucknow,Uttar Pradesh,70566.0,4,2023-09-23,17.0,227631517.6,7050465.65,3370003.06,238051986.31,3373.47
PRJ0246,Industrial - Light Manufacturing,Ahmedabad,Gujarat,125913.0,11,2021-11-03,11.0,817467602.41,23414759.13,13755931.73,854638293.27,6787.53
PRJ0247,Residential - Apartment Complex,Bengaluru,Karnataka,50219.0,5,2022-03-08,29.0,281707065.97,9166657.71,6905633.94,297779357.62,5929.62
PRJ0248,Residential - Apartment Complex,Coimbatore,Tamil Nadu,107901.0,11,2025-08-26,3.0,520751805.18,3181873.55,13230165.83,537163844.56,4978.3
PRJ0249,Industrial - Light Manufacturing,Nashik,Maharashtra,71072.0,2,2022-05-03,13.0,428637131.88,13861317.86,7198445.06,449696894.8,6327.34
PRJ0250,Commercial - Office Building,Surat,Gujarat,126791.0,4,2025-03-10,,666970152.08,27662374.84,15216517.68,709849044.6,5598.58
PRJ0251,Residential - Apartment Complex,Kolkata,West Bengal,103025.0,11,2022-03-16,3.0,603099632.15,15802242.84,4681378.3,623583253.29,6052.74
PRJ0252,Industrial - Warehouse,Coimbatore,Tamil Nadu,267761.0,1,2021-06-16,16.0,806606168.11,23825240.19,22748706.95,853180115.25,3186.35
PRJ0253,Residential - Independent House,Surat,Gujarat,2240.0,2,2022-04-13,24.0,11578587.86,1597105.68,219196.23,13394889.77,5979.86
PRJ0254,Residential - Apartment Complex,Surat,Gujarat,100324.0,6,2025-03-14,16.0,364540258.35,13777131.3,8870586.51,387187976.16,3859.38
PRJ0255,Industrial - Warehouse,Surat,Gujarat,298640.0,2,2024-05-19,9.0,632628547.05,44498401.4,33163018.31,710289966.76,2378.42
PRJ0256,Commercial - Hotel,Ahmedabad,Gujarat,24175.0,8,2022-07-11,11.0,89727276.55,4265884.31,1688689.19,95681850.05,3957.88
PRJ0257,Commercial - Hospital,Delhi,Delhi,116282.0,1,2022-08-18,15.0,730330100.62,23301407.57,13824196.17,767455704.36,6599.95
PRJ0258,Commercial - Retail / Mall,Bengaluru,Karnataka,446407.0,7,2024-01-25,21.0,2297673820.8,82945898.02,60283095.08,2440902813.9,5467.89
PRJ0259,Industrial - Heavy Manufacturing,Ahmedabad,Gujarat,118263.0,2,2025-01-02,15.0,560266851.71,17695931.25,5727872.79,583690655.75,4935.53
PRJ0260,Commercial - Retail / Mall,Surat,Gujarat,219665.0,9,2023-12-06,10.0,880225837.71,39914718.16,24472945.71,944613501.58,4300.25
PRJ0261,Commercial - Office Building,Delhi,Delhi,137564.0,9,2025-10-26,21.0,881513154.73,25823275.4,12063457.61,919399887.74,6683.43
PRJ0262,Commercial - Hotel,Ahmedabad,Gujarat,126461.0,1,2023-03-23,5.0,714633070.87,17398239.04,9162534.59,741193844.5,5861.05
PRJ0263,Residential - Independent House,Indore,Madhya Pradesh,2083.0,2,2021-09-09,18.0,8333931.78,1848484.91,313002.47,10495419.16,5038.61
PRJ0264,Commercial - Hotel,Surat,Gujarat,175864.0,6,2023-12-31,,1041287018.09,18796865.34,9255952.29,1069339835.72,6080.49
PRJ0265,Industrial - Heavy Manufacturing,Delhi,Delhi,141171.0,6,2025-11-20,10.0,759795540.34,22166701.75,14584200.68,796546442.77,5642.42
PRJ0266,Industrial - Warehouse,Chennai,Tamil Nadu,52821.0,10,2023-06-19,3.0,113713397.64,3676515.83,5974258.58,123364172.05,2335.51
PRJ0267,Commercial - Hotel,Ahmedabad,Gujarat,33139.0,12,2021-10-04,3.0,128619149.99,6853542.71,4304665.02,139777357.72,4217.91
PRJ0268,Commercial - Hotel,Bengaluru,Karnataka,91768.0,7,2021-10-22,8.0,541433756.92,20034532.72,5102783.06,566571072.7,6173.95
PRJ0269,Industrial - Heavy Manufacturing,Coimbatore,Tamil Nadu,118788.0,2,2025-10-13,28.0,737215642.95,14178681.01,13276173.48,764670497.44,6437.27
PRJ0270,Residential - Independent House,Mumbai,Maharashtra,2975.0,7,2025-08-04,20.0,17351608.34,1885491.9,547028.02,19784128.26,6650.13
PRJ0271,Residential - Independent House,Chennai,Tamil Nadu,3434.0,14,2024-02-12,24.0,16573923.57,1111977.76,144020.44,17829921.77,5192.17
PRJ0272,Commercial - Office Building,Bengaluru,Karnataka,15805.0,1,2022-08-03,14.0,79000185.55,5174540.8,986278.66,85161005.01,5388.23
PRJ0273,Industrial - Warehouse,Chennai,Tamil Nadu,199648.0,3,2021-04-02,11.0,1541475700.17,25472340.16,30266543.25,1597214583.58,8000.15
PRJ0274,Residential - Independent House,Hyderabad,Telangana,2459.0,3,2021-11-18,3.0,17226000.75,2286706.61,384368.71,19897076.07,8091.53
PRJ0275,Commercial - Retail / Mall,Mumbai,Maharashtra,467335.0,1,2023-04-16,18.0,2785028704.46,33276308.15,69001685.88,2887306698.49,6178.24
PRJ0276,Residential - Independent House,Coimbatore,Tamil Nadu,1155.0,1,2021-07-04,14.0,3824061.1,1212168.65,144004.69,5180234.44,4485.05
PRJ0277,Commercial - Hospital,Indore,Madhya Pradesh,296562.0,1,2022-06-07,17.0,999159272.02,45159982.6,4890943.58,1049210198.2,3537.91
PRJ0278,Residential - Apartment Complex,Lucknow,Uttar Pradesh,30655.0,4,2021-08-26,9.0,132348711.7,5042913.65,1666200.43,139057825.78,4536.22
PRJ0279,Industrial - Warehouse,Jaipur,Rajasthan,162147.0,9,2025-12-27,9.0,1022962019.87,17687581.43,14342753.83,1054992355.13,6506.39
PRJ0280,Residential - Apartment Complex,Surat,Gujarat,68733.0,4,2025-12-14,8.0,402184736.81,2818162.27,6815599.01,411818498.09,5991.57
PRJ0281,Commercial - Hotel,Mumbai,Maharashtra,126821.0,1,2023-02-27,8.0,784624630.8,18199303.35,12136184.49,814960118.64,6426.07
PRJ0282,Industrial - Light Manufacturing,Jaipur,Rajasthan,11729.0,7,2021-02-22,21.0,49889445.48,1913417.58,691638.61,52494501.67,4475.62
PRJ0283,Industrial - Heavy Manufacturing,Indore,Madhya Pradesh,233161.0,3,2022-04-17,17.0,1087747582.58,18720523.19,28904570.02,1135372675.79,4869.48
PRJ0284,Industrial - Light Manufacturing,Pune,Maharashtra,82817.0,2,2024-08-20,5.0,440876791.29,15337158.73,4836539.76,461050489.78,5567.1
PRJ0285,Commercial - Office Building,Bengaluru,Karnataka,126204.0,4,2021-01-20,22.0,869748036.53,25614143.24,6097042.63,901459222.4,7142.87
PRJ0286,Commercial - Office Building,Pune,Maharashtra,174191.0,4,2023-11-23,17.0,780820364.38,36651786.12,15096144.17,832568294.67,4779.63
PRJ0287,Commercial - Retail / Mall,Mumbai,Maharashtra,387937.0,3,2021-06-27,19.0,3386376856.86,72021167.24,18692459.06,3477090483.16,8963.03
PRJ0288,Residential - Independent House,Lucknow,Uttar Pradesh,2108.0,11,2024-11-19,18.0,9598096.24,1795196.65,251134.85,11644427.74,5523.92
PRJ0289,Commercial - Office Building,Bengaluru,Karnataka,189227.0,10,2021-09-07,19.0,1321309244.95,38534404.82,11319128.13,1371162777.9,7246.13
PRJ0290,Commercial - Hotel,Pune,Maharashtra,158183.0,2,2023-12-25,18.0,905162514.78,36840789.49,16231584.77,958234889.04,6057.76
PRJ0291,Commercial - Office Building,Lucknow,Uttar Pradesh,13117.0,2,2021-12-20,19.0,55494516.7,1826587.67,1502384.02,58823488.39,4484.52
PRJ0292,Commercial - Office Building,Ahmedabad,Gujarat,9714.0,8,2022-10-02,6.0,48872115.27,3149017.84,400964.05,52422097.16,5396.55
PRJ0293,Commercial - Hospital,Coimbatore,Tamil Nadu,154094.0,5,2021-03-28,18.0,633300037.02,25344039.95,13512707.42,672156784.39,4361.99
PRJ0294,Residential - Independent House,Jaipur,Rajasthan,2752.0,8,2023-06-26,21.0,15377540.79,901741.62,249198.53,16528480.94,6005.99
PRJ0295,Residential - Apartment Complex,Kolkata,West Bengal,95112.0,1,2025-05-18,5.0,481884969.02,12414060.45,13852453.88,508151483.35,5342.66
PRJ0296,Commercial - Hospital,Chennai,Tamil Nadu,211346.0,4,2021-09-24,6.0,1528376816.83,25733478.91,20157423.58,1574267719.32,7448.77
PRJ0297,Industrial - Light Manufacturing,Nashik,Maharashtra,63947.0,5,2022-01-12,23.0,301039704.76,6332706.61,7591946.23,314964357.6,4925.4
PRJ0298,Residential - Apartment Complex,Mumbai,Maharashtra,73168.0,1,2025-01-12,12.0,635662600.98,15509481.59,8552469.59,659724552.16,9016.57
PRJ0299,Industrial - Light Manufacturing,Coimbatore,Tamil Nadu,127006.0,8,2023-06-11,7.0,656983183.86,19531157.57,11291161.76,687805503.19,5415.54
PRJ0300,Residential - Independent House,Bengaluru,Karnataka,1313.0,6,2022-05-22,19.0,8455478.95,1385402.67,195366.27,10036247.89,7643.75
PRJ0301,Industrial - Heavy Manufacturing,Ahmedabad,Gujarat,354622.0,3,2024-01-16,17.0,1361519871.49,65671977.93,36707753.22,1463899602.64,4128.06
PRJ0302,Residential - Independent House,Indore,Madhya Pradesh,1623.0,7,2024-11-28,23.0,8952078.03,1575166.99,95791.93,10623036.95,6545.31
PRJ0303,Residential - Apartment Complex,Mumbai,Maharashtra,72087.0,6,2021-02-11,9.0,473821906.44,9459340.31,4518460.8,487799707.55,6766.82
PRJ0304,Residential - Independent House,Chennai,Tamil Nadu,2039.0,4,2023-03-24,13.0,4510064.61,975647.48,209001.82,5694713.91,2792.9
PRJ0305,Industrial - Heavy Manufacturing,Jaipur,Rajasthan,214178.0,8,2025-03-24,,1222788537.11,37608106.85,20131124.87,1280527768.83,5978.8
PRJ0306,Industrial - Warehouse,Coimbatore,Tamil Nadu,197495.0,1,2022-06-29,21.0,761298214.36,28530766.12,8847655.89,798676636.37,4044.03
PRJ0307,Residential - Apartment Complex,Jaipur,Rajasthan,65018.0,2,2024-08-14,11.0,200250897.33,8044132.89,7193128.95,215488159.17,3314.28
PRJ0308,Residential - Independent House,Delhi,Delhi,1557.0,9,2023-01-27,5.0,10848114.29,847610.26,233740.7,11929465.25,7661.83
PRJ0309,Commercial - Hotel,Mumbai,Maharashtra,196598.0,5,2021-03-26,19.0,1142805662.27,43127951.2,20001076.27,1205934689.74,6134.01
PRJ0310,Industrial - Warehouse,Lucknow,Uttar Pradesh,48327.0,1,2021-01-24,12.0,250804929.54,9695511.73,4991712.51,265492153.78,5493.66
PRJ0311,Commercial - Hospital,Indore,Madhya Pradesh,18142.0,8,2024-05-08,20.0,93887228.7,2961000.59,1072427.88,97920657.17,5397.46
PRJ0312,Industrial - Heavy Manufacturing,Chennai,Tamil Nadu,176495.0,4,2024-07-17,16.0,1313454506.57,29245016.53,18970597.64,1361670120.74,7715.06
PRJ0313,Commercial - Retail / Mall,Lucknow,Uttar Pradesh,125773.0,1,2023-05-15,14.0,523180494.88,18476791.76,7966643.04,549623929.68,4369.97
PRJ0314,Industrial - Light Manufacturing,Chennai,Tamil Nadu,57935.0,1,2024-02-02,18.0,255160279.66,11033739.37,6926138.51,273120157.54,4714.25
PRJ0315,Commercial - Retail / Mall,Nashik,Maharashtra,180972.0,1,2023-03-20,17.0,540303222.16,27845383.73,16327918.15,584476524.04,3229.65
PRJ0316,Residential - Apartment Complex,Coimbatore,Tamil Nadu,21955.0,1,2023-01-04,14.0,144622211.57,4974198.12,1212499.31,150808909.0,6869.0
PRJ0317,Industrial - Warehouse,Delhi,Delhi,46714.0,1,2024-06-23,12.0,334822023.6,8778269.6,5313401.34,348913694.54,7469.15
PRJ0318,Residential - Independent House,Hyderabad,Telangana,985.0,5,2023-06-16,11.0,6199849.71,955723.12,223275.37,7378848.2,7491.22
PRJ0319,Industrial - Heavy Manufacturing,Jaipur,Rajasthan,152509.0,11,2022-01-03,12.0,745298225.81,12222450.36,12809271.92,770329948.09,5051.05
PRJ0320,Industrial - Light Manufacturing,Hyderabad,Telangana,60494.0,1,2022-10-04,16.0,175827794.38,8188551.92,5863626.38,189879972.68,3138.82
PRJ0321,Commercial - Retail / Mall,Hyderabad,Telangana,183102.0,7,2024-05-02,13.0,373726795.46,23149141.09,11619600.78,408495537.33,2230.97
PRJ0322,Industrial - Heavy Manufacturing,Pune,Maharashtra,290397.0,5,2024-11-17,19.0,1606187808.96,43756657.8,19650252.97,1669594719.73,5749.35
PRJ0323,Industrial - Warehouse,Jaipur,Rajasthan,270422.0,7,2024-11-19,7.0,1059714584.61,56836836.4,20111001.85,1136662422.86,4203.29
PRJ0324,Commercial - Hotel,Jaipur,Rajasthan,168953.0,15,2021-10-20,15.0,1019808979.71,29123838.4,12481748.17,1061414566.28,6282.31
PRJ0325,Commercial - Hotel,Kolkata,West Bengal,45835.0,16,2021-12-22,,307571015.74,7294478.11,619324.22,315484818.07,6883.05
PRJ0326,Commercial - Hospital,Bengaluru,Karnataka,68940.0,8,2023-12-22,6.0,318677485.87,7978837.22,6066264.35,332722587.44,4826.26
PRJ0327,Commercial - Hospital,Chennai,Tamil Nadu,275697.0,5,2021-10-14,26.0,1036072927.04,37169209.14,25738603.7,1098980739.88,3986.19
PRJ0328,Industrial - Light Manufacturing,Mumbai,Maharashtra,142226.0,9,2021-10-16,16.0,854517346.77,35608597.55,15710971.83,905836916.15,6369.0
PRJ0329,Commercial - Hospital,Ahmedabad,Gujarat,159333.0,1,2023-08-10,14.0,1009252174.57,11684668.32,1675257.72,1022612100.61,6418.08
PRJ0330,Commercial - Office Building,Mumbai,Maharashtra,190082.0,4,2024-07-20,24.0,1416896051.2,27521987.26,10648551.31,1455066589.77,7654.94
PRJ0331,Commercial - Hospital,Hyderabad,Telangana,120435.0,4,2021-08-27,3.0,730714357.01,28712881.62,12856464.36,772283702.99,6412.45
PRJ0332,Residential - Apartment Complex,Bengaluru,Karnataka,86890.0,5,2022-07-05,23.0,273531489.98,16397524.89,4500778.19,294429793.06,3388.53
PRJ0333,Commercial - Retail / Mall,Bengaluru,Karnataka,144426.0,7,2024-05-21,14.0,1003955748.36,31081401.13,17289224.02,1052326373.51,7286.27
PRJ0334,Residential - Apartment Complex,Lucknow,Uttar Pradesh,22261.0,4,2024-05-19,16.0,82542678.43,4163328.18,1523072.88,88229079.49,3963.39
PRJ0335,Industrial - Light Manufacturing,Kolkata,West Bengal,16118.0,12,2022-01-27,20.0,100181218.43,2715416.75,834969.54,103731604.72,6435.76
PRJ0336,Commercial - Hospital,Coimbatore,Tamil Nadu,93530.0,14,2021-02-19,13.0,519773173.76,18982156.43,1674576.36,540429906.55,5778.15
PRJ0337,Industrial - Warehouse,Nashik,Maharashtra,96548.0,4,2022-11-22,18.0,340661422.6,13234508.41,14002882.79,367898813.8,3810.53
PRJ0338,Commercial - Retail / Mall,Jaipur,Rajasthan,57413.0,2,2023-11-12,8.0,316533506.07,10756033.81,3207132.88,330496672.76,5756.48
PRJ0339,Commercial - Hospital,Lucknow,Uttar Pradesh,242263.0,4,2024-03-29,17.0,1441983581.12,27418786.36,2489994.53,1471892362.01,6075.6
PRJ0340,Industrial - Heavy Manufacturing,Hyderabad,Telangana,218893.0,1,2021-11-13,22.0,1495823155.92,38134934.54,27106888.88,1561064979.34,7131.63
PRJ0341,Commercial - Retail / Mall,Ahmedabad,Gujarat,142503.0,8,2025-01-27,14.0,603730797.13,28658987.61,6252738.34,638642523.08,4481.61
PRJ0342,Commercial - Hospital,Jaipur,Rajasthan,242394.0,1,2023-01-15,10.0,1430873638.48,25393383.37,22109377.85,1478376399.7,6099.06
PRJ0343,Commercial - Retail / Mall,Delhi,Delhi,197156.0,6,2025-06-28,16.0,1450034434.65,39567834.55,24083220.86,1513685490.06,7677.6
PRJ0344,Residential - Independent House,Kolkata,West Bengal,2816.0,1,2021-10-23,12.0,15121276.34,451300.73,126657.82,15699234.89,5575.01
PRJ0345,Residential - Independent House,Coimbatore,Tamil Nadu,2516.0,4,2023-11-16,8.0,13639926.47,1659820.88,145009.01,15444756.36,6138.62
PRJ0346,Commercial - Hospital,Nagpur,Maharashtra,248433.0,8,2025-12-09,6.0,886294381.42,24859061.92,24229083.2,935382526.54,3765.13
PRJ0347,Commercial - Retail / Mall,Surat,Gujarat,167144.0,5,2024-05-28,5.0,725810536.75,14356009.62,13176721.12,753343267.49,4507.15
PRJ0348,Residential - Apartment Complex,Indore,Madhya Pradesh,89313.0,2,2021-09-28,6.0,433170224.56,11227142.78,7812241.08,452209608.42,5063.2
PRJ0349,Industrial - Warehouse,Surat,Gujarat,173256.0,4,2025-07-26,3.0,991385398.82,25341594.24,21391851.21,1038118844.27,5991.82
PRJ0350,Residential - Apartment Complex,Hyderabad,Telangana,44630.0,9,2025-12-03,9.0,170848284.48,10994384.83,3267976.83,185110646.14,4147.67
PRJ0351,Commercial - Retail / Mall,Bengaluru,Karnataka,273026.0,4,2025-05-24,11.0,1009173465.83,34402824.35,24761807.2,1068338097.38,3912.95
PRJ0352,Commercial - Hotel,Bengaluru,Karnataka,77178.0,3,2021-11-17,16.0,362914119.1,17404046.66,4050904.35,384369070.11,4980.29
